id,name,address_prefix,city,state,zip,latitude,longitude,street,more_info_url,indoor,outdoor,available_federal,available_academia,available_industry,Technology_WiFi,Technology_SATCOM,Technology_WiMAX,Technology_UMTS,Technology_ZigBee,Technology_Bluetooth,Technology_SDR,Technology_TDMA,Technology_DAMA,Technology_mini-CDL,Technology_TTNT,Technology_QNT,Technology_LegacyHF,Technology_VHF,Technology_UHF,Technology_117G_radios,Technology_WNaN_radios,Technology_microwave,Technology_optical,Technology_GNU_radios,Technology_LTE,Technology_Project25LMR,Technology_U-NIIDynamicFrequencySelectionRadio,Technology_Point_to_Point_Microwave,Technology_WiredMPLS,Technology_VirtualModeledWiFi,Technology_Tactical_Radio,freq30M_300M,freq300M_3G,freq3G_30G,freq30G_300G,freq0_30M,GENI
37,ERM,Columbia,New York,NY,10027,40.807124,-73.964247,2920 Broadway,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=ERM,NO,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
38,REGOPT,Pittsburgh Supercomputing Center (PSC),Pittsburgh,PA,15213,40.445608,-79.949142,300 South Craig Street,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=REGOPT,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
39,"SECARCH, Distributed Identity","SPARTA, Inc.",Lake Forest,CA,92630,33.665586,-117.68501,25531 Commercentre Drive,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=SECARCH,_Distributed_Identity",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
40,SPP,Washington University,St. Louis,MO,63130,38.648493,-90.309232,1 Brookings Drive,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=SPP,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
41,TIED,USC Information Sciences Institute,Marina del Rey,CA,90292,33.980202,-118.440033,4676 Admiralty Way,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=TIED,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
42,UB_OANets,SUNY Bualo,Buffalo,NY,14260,42.99913,-78.777992,12 Capen Hall,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=UB_OANets,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
43,UMLPEN,University of Massachusetts Lowell,Lowell,MA,1854,42.640798,-71.3532,487 Pawtucket Boulevard,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=UMLPEN,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
44,CR-GENI,University of Colorado Boulder,Boulder,CO,80309,40.010605,-105.274388,1505 University Avenue,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=CR-GENI,NO,YES,YES,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
45,CRON-T,Louisiana State University,Baton Rouge,LA,70803,30.415071,-91.179177,110 thomas boyd,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=CRON-T,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
46,Design of Information Subs,MIT,Cambridge,MA,2139,42.35771,-71.092846,77 Massachusetts Avenue,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Design_of_Information_Subs,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
47,"DSL, HIVE",UC Davis,Davis,CA,95616,38.533539,-121.747565,1 Shields Avenue,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=DSL,_HIVE",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
48,EXP-SEC,University of Alabama,Tuscaloosa,AL,35487,33.209653,-87.546628,739 University Blvd,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=EXP-SEC,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
49,FPGA-RADIO,Clemson University,Clemson,SC,29634,34.680476,-82.839155,Sikes Hall,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=FPGA-RADIO,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
50,GENI IMF,North Carolina State University,Raleigh,NC,27695,35.787326,-78.66492,2200 Hillsborough,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=GENI_IMF,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
51,iGENI,Northwestern University,Evanston,IL,60201,42.050025,-87.679908,633 Clark St,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=IGENI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
52,LAMP,University of Delaware,Newark,DE,19716,39.675914,-75.75029,401 Academy St,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=LAMP,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
53,"LEFA, Supercharged PlanetLab",Internet2,Ann Arbor,MI,48104,42.248367,-83.736436,1000 Oakbrook Drive,"http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=LEFA,_Supercharged_Planetlab",YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
54,NLR,"Cypress, CA",Cypress,CA,,33.824444,-118.040582,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=NLR,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
55,Open--CIRRUS,"HP Labs, Palo Alto",Palto Alto,CA,94304,37.412872,-122.148657,1501 Page Mill Road,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=Open--CIRRUS,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
56,OKGems,Oklahoma State University,Stillwater,OK,,36.121029,-97.068243,,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=OKGems,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
57,PIGEON-NET,Howard University,"Washington, DC",DC,20059,38.92396,-77.021585,2400 Sixth St NW,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=PIGEON-NET,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
58,PrimoGENI,Florida International University,Miami,FL,33174,25.75804,-80.370714,11200 Southwest 8th Street,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=PrimoGENI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
59,QUILT,The Quilt,Seattle,WA,98107,47.668889,-122.389416,2442 NW Market Street ,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=QUILT,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
60,S3-GENI,Purdue University,West Lafayette,IN,47907,40.428267,-86.914324,610 Purdue Mall,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=S3-GENI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
61,SEC-POL,University of Illinois (NCSA),Urbana,IL,61801,40.114922,-88.22486,1205 W. Clark St.,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=SEC-POL,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
62,VMI,University of Alaska Fairbanks,Fairbanks,AK,99775,64.857762,-147.824431,505 South Chandalar,http://www.nitrd.gov/apps/wsrdtestbedinventory/index.php?title=VMI,YES,NO,YES,YES,YES,YES,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,,,YES
